日期,最高气温,最低气温,天气
2024-01-01,6,-2,多云~晴
2024-01-02,7,0,阴~晴
2024-01-03,8,-1,晴
2024-01-04,10,0,晴
2024-01-05,11,2,多云
2024-01-06,10,-4,阴~晴
2024-01-07,2,-4,阴~晴
2024-01-08,7,0,阴~多云
2024-01-09,11,0,多云
2024-01-10,5,-4,多云~晴
2024-01-11,13,1,多云~晴
2024-01-12,15,0,多云~晴
2024-01-13,16,4,多云~晴
2024-01-14,15,-1,多云
2024-01-15,6,-2,晴~多云
2024-01-16,9,6,阴~小雨
2024-01-17,11,6,阴~大雨
2024-01-18,7,5,小雨
2024-01-19,4,2,雨夹雪~小雨
2024-01-20,3,1,小雨~阴
2024-01-21,1,-5,雾~阴
2024-01-22,-2,-7,阴~晴
2024-01-23,-1,-5,多云~晴
2024-01-24,3,-4,多云~晴
2024-01-25,6,-3,多云~晴
2024-01-26,7,-4,雾~晴
2024-01-27,8,-4,多云~晴
2024-01-28,9,-3,多云
2024-01-29,11,4,多云~小雨
2024-01-30,8,4,雾~多云
2024-01-31,8,4,小雨
2024-02-01,3,0,雾~小雪
2024-02-02,3,0,阴~雨夹雪
2024-02-03,2,-1,雨夹雪
2024-02-04,1,-2,暴雪~雨夹雪
2024-02-05,0,-3,小雪~多云
2024-02-06,3,0,阴
2024-02-07,5,-3,阴
2024-02-08,6,-2,多云
2024-02-09,9,1,多云~晴
2024-02-10,13,3,多云~小雨
2024-02-11,15,3,多云~晴
2024-02-12,18,6,多云~晴
2024-02-13,19,9,多云~晴
2024-02-14,22,4,多云~小雨
2024-02-15,6,-2,小雨~晴
2024-02-16,10,1,雾~晴
2024-02-17,17,12,晴~小雨
2024-02-18,21,12,阴~小雨
2024-02-19,15,3,雾~中雨
2024-02-20,4,2,中雨~大雨
2024-02-21,1,-1,暴雪~阴
2024-02-22,0,-2,大雪~小雪
2024-02-23,2,-1,阴
2024-02-24,0,-2,中雪~多云
2024-02-25,4,0,阴~多云
2024-02-26,7,0,多云~阴
2024-02-27,7,0,雾~阴
2024-02-28,5,3,中雨
2024-02-29,6,0,中雨~多云
2024-03-01,5,-1,阴
2024-03-02,10,1,阴~晴
2024-03-03,14,5,多云~小雨
2024-03-04,11,8,小雨
2024-03-05,9,4,小雨~阴
2024-03-06,9,0,阴~多云
2024-03-07,12,2,雾~晴
2024-03-08,11,0,雾~多云
2024-03-09,12,1,雾~晴
2024-03-10,15,7,多云~阴
2024-03-11,19,8,阴~晴
2024-03-12,12,1,晴~阴
2024-03-13,15,8,阴
2024-03-14,12,5,阴~多云
2024-03-15,18,10,雾~晴
2024-03-16,21,11,阴~多云
2024-03-17,11,4,雾~多云
2024-03-18,10,4,阴~晴
2024-03-19,16,5,多云~晴
2024-03-20,15,3,晴
2024-03-21,21,11,多云~晴
2024-03-22,26,12,晴~小雨
2024-03-23,17,12,小雨~大雨
2024-03-24,16,12,阴~大雨
2024-03-25,12,5,小雨
2024-03-26,14,7,阴
2024-03-27,13,10,小雨
2024-03-28,15,11,雾~晴
2024-03-29,27,12,晴~多云
2024-03-30,28,11,雾~阴
2024-03-31,20,8,阴~晴
2024-04-01,26,15,多云~暴雨
2024-04-02,19,13,阴~中雨
2024-04-03,13,9,雾~阴
2024-04-04,16,5,阴
2024-04-05,18,9,多云~小雨
2024-04-06,18,9,阴~多云
2024-04-07,18,10,小雨~中雨
2024-04-08,18,6,阴
2024-04-09,21,9,雾~阴
2024-04-10,22,13,阴
2024-04-11,22,14,阴~小雨
2024-04-12,18,13,小雨~多云
2024-04-13,18,16,雾~阴
2024-04-14,22,16,雾~多云
2024-04-15,26,15,阴~小雨
2024-04-16,25,13,阴
2024-04-17,19,7,阴~晴
2024-04-18,23,11,雾~多云
2024-04-19,23,14,阴~中雨
2024-04-20,18,12,阴
2024-04-21,18,11,阴~多云
2024-04-22,22,13,晴~阴
2024-04-23,23,11,小雨~阴
2024-04-24,26,13,阴~多云
2024-04-25,26,14,阴~多云
2024-04-26,24,15,阴~多云
2024-04-27,23,15,阴
2024-04-28,18,15,大雨~阴
2024-04-29,23,11,雾~阴
2024-04-30,14,12,小雨~多云
2024-05-01,22,10,阴
2024-05-02,21,10,阴~多云
2024-05-03,22,14,阴
2024-05-04,20,15,阴~大雨
2024-05-05,18,15,小雨~多云
2024-05-06,24,13,阴~晴
2024-05-07,26,12,多云~晴
2024-05-08,23,11,晴
2024-05-09,24,13,雾~晴
2024-05-10,29,20,晴~小雨
2024-05-11,24,13,小雨~阴
2024-05-12,24,13,阴~晴
2024-05-13,27,15,晴
2024-05-14,28,13,晴
2024-05-15,22,12,晴
2024-05-16,28,16,晴~多云
2024-05-17,28,18,小雨~晴
2024-05-18,32,16,晴~多云
2024-05-19,28,17,阴
2024-05-20,28,19,阴~多云
2024-05-21,25,17,阴
2024-05-22,27,17,阴~多云
2024-05-23,30,19,晴
2024-05-24,30,19,多云
2024-05-25,29,22,阴~多云
2024-05-26,31,18,阴~中雨
2024-05-27,21,13,小雨~晴
2024-05-28,28,13,阴
2024-05-29,28,17,阴
2024-05-30,21,18,中雨~阴
2024-05-31,28,19,雾~多云
2024-06-01,27,17,阴~多云
2024-06-02,28,18,阴~多云
2024-06-03,32,17,晴~阴
2024-06-04,28,20,阴
2024-06-05,23,18,小雨~多云
2024-06-06,27,16,阴
2024-06-07,27,18,阴~晴
2024-06-08,31,22,阴
2024-06-09,33,22,阴~多云
2024-06-10,32,20,阴
2024-06-11,25,22,阴
2024-06-12,32,22,阴~晴
2024-06-13,32,23,多云~阴
2024-06-14,33,23,阴~晴
2024-06-15,33,22,阴~多云
2024-06-16,34,22,多云~阴
2024-06-17,30,20,阴~晴
2024-06-18,32,22,阴
2024-06-19,25,24,雾~小雨
2024-06-20,28,23,小雨~阴
2024-06-21,29,25,小雨~中雨
2024-06-22,27,23,阴~小雨
2024-06-23,31,22,雾~阴
2024-06-24,30,20,阴~小雨
2024-06-25,28,20,阴
2024-06-26,28,23,阴
2024-06-27,28,22,雾~阴
2024-06-28,27,24,小雨~大暴雨
2024-06-29,27,24,大雨~小雨
2024-06-30,29,24,阴~小雨
2024-07-01,31,27,大雨~中雨
2024-07-02,30,22,小雨~阴
2024-07-03,32,26,阴~晴
2024-07-04,36,26,阴~晴
2024-07-05,36,28,阴
2024-07-06,35,29,阴
2024-07-07,37,30,阴~多云
2024-07-08,37,27,阴
2024-07-09,34,26,阴~暴雨
2024-07-10,28,23,暴雨~中雨
2024-07-11,23,20,大雨~多云
2024-07-12,28,24,阴~暴雨
2024-07-13,31,24,雾~大雨
2024-07-14,27,25,中雨~大雨
2024-07-15,31,27,雾~阴
2024-07-16,37,28,多云
2024-07-17,33,28,阴~多云
2024-07-18,32,28,阴
2024-07-19,33,29,阴
2024-07-20,35,27,阴~多云
2024-07-21,37,29,多云
2024-07-22,38,29,多云~晴
2024-07-23,37,27,阴~多云
2024-07-24,36,27,阴~多云
2024-07-25,34,28,阴~多云
2024-07-26,33,29,大雨~阴
2024-07-27,33,28,阴
2024-07-28,35,27,多云~晴
2024-07-29,36,28,多云~晴
2024-07-30,37,28,阴~晴
2024-07-31,37,28,阴~晴
2024-08-01,37,29,阴~晴
2024-08-02,37,28,阴~晴
2024-08-03,38,27,阴~多云
2024-08-04,38,29,阴~晴
2024-08-05,38,28,阴~晴
2024-08-06,35,27,多云~晴
2024-08-07,35,28,阴~多云
2024-08-08,36,28,阴~多云
2024-08-09,37,28,小雨~多云
2024-08-10,38,29,阴~多云
2024-08-11,37,28,阴~多云
2024-08-12,37,27,阴~多云
2024-08-13,34,26,暴雨~阴
2024-08-14,33,25,阴~晴
2024-08-15,32,25,大雨~晴
2024-08-16,33,25,阴~晴
2024-08-17,33,25,小雨~多云
2024-08-18,33,27,阴
2024-08-19,33,26,小雨
2024-08-20,30,25,小雨~中雨
2024-08-21,31,25,大暴雨~晴
2024-08-22,35,26,多云~晴
2024-08-23,35,26,阴~晴
2024-08-24,35,26,阴~多云
2024-08-25,34,26,多云
2024-08-26,34,28,阴
2024-08-27,29,25,阴~多云
2024-08-28,33,26,小雨~晴
2024-08-29,33,24,阴~晴
2024-08-30,33,25,阴~晴
2024-08-31,34,27,晴转小雨
2024-09-01,36,27,多云
2024-09-02,32,24,阴
2024-09-03,30,23,阴~多云
2024-09-04,33,25,阴~晴
2024-09-05,34,26,晴~多云
2024-09-06,32,25,阴~晴
2024-09-07,33,25,阴~晴
2024-09-08,32,25,阴~晴
2024-09-09,33,25,阴~晴
2024-09-10,32,26,阴~中雨
2024-09-11,30,26,大暴雨~小雨
2024-09-12,33,27,阴~多云
2024-09-13,34,25,阴~晴
2024-09-14,33,26,阴~多云
2024-09-15,32,25,阴~小雨
2024-09-16,29,26,阴~小雨
2024-09-17,32,25,阴~晴
2024-09-18,33,26,阴~晴
2024-09-19,31,26,阴~小雨
2024-09-20,30,22,阴
2024-09-21,24,19,阴~多云
2024-09-22,23,18,阴~多云
2024-09-23,25,18,阴~晴
2024-09-24,24,20,阴
2024-09-25,27,21,阴
2024-09-26,27,20,雾~多云
2024-09-27,28,19,阴~多云
2024-09-28,28,19,阴~多云
2024-09-29,30,22,雾~阴
2024-09-30,30,23,晴转小雨
2024-10-01,22,14,阴~晴
2024-10-02,21,13,多云~晴
2024-10-03,22,12,晴
2024-10-04,24,15,晴~多云
2024-10-05,23,18,阴~小雨
2024-10-06,20,16,小雨~中雨
2024-10-07,16,13,中雨~晴
2024-10-08,22,12,晴~阴
2024-10-09,22,12,雾~多云
2024-10-10,24,12,雾~晴
2024-10-11,26,15,多云~阴
2024-10-12,24,17,多云~小雨
2024-10-13,23,19,小雨~大雨
2024-10-14,23,18,雾~阴
2024-10-15,23,18,雾~阴
2024-10-16,22,18,阴~中雨
2024-10-17,25,21,小雨~中雨
2024-10-18,28,17,雾~多云
2024-10-19,17,13,雾~多云
2024-10-20,18,14,阴~小雨
2024-10-21,16,14,阴~中雨
2024-10-22,15,8,小雨~晴
2024-10-23,18,8,晴
2024-10-24,20,11,雾~多云
2024-10-25,22,15,雾~阴
2024-10-26,19,17,小雨~中雨
2024-10-27,19,12,阴~多云
2024-10-28,18,8,多云
2024-10-29,20,9,雾~晴
2024-10-30,21,12,雾~晴
2024-10-31,22,19,小雨
2024-11-01,18,13,小雨~晴
2024-11-02,21,10,多云~晴
2024-11-03,22,12,多云~晴
2024-11-04,21,10,多云
2024-11-05,18,6,阴~晴
2024-11-06,18,6,晴~多云
2024-11-07,17,8,多云
2024-11-08,18,10,阴
2024-11-09,20,13,雾~阴
2024-11-10,21,10,阴~晴
2024-11-11,21,9,雾~多云
2024-11-12,22,15,多云
2024-11-13,22,16,多云
2024-11-14,21,19,中雨转阴
2024-11-15,22,19,小雨
2024-11-16,24,19,中雨转多云
2024-11-17,22,14,阴
2024-11-18,16,13,多云
2024-11-19,16,12,多云
2024-11-20,18,13,晴
2024-11-21,15,11,多云
2024-11-22,17,11,晴
2024-11-23,18,11,轻度雾霾
2024-11-24,19,11,雾
2024-11-25,18,14,阴转小雨
2024-11-26,15,7,阴
2024-11-27,17,7,多云
2024-11-28,16,6,晴
2024-11-29,16,4,晴
2024-11-30,18,6,晴
2024-12-01,21,7,晴
2024-12-02,22,9,晴
2024-12-03,20,14,多云
2024-12-04,15,12,晴
2024-12-05,16,12,阴
2024-12-06,13,10,阴
2024-12-07,9,-1,晴
2024-12-08,12,5,中度雾霾
2024-12-09,12,5,阴
2024-12-10,15,10,阴
2024-12-11,12,8,雾转小雨
2024-12-12,11,7,多云转小雨
2024-12-13,9,6,小雨
2024-12-14,9,3,轻度雾霾
2024-12-15,11,3,晴
2024-12-16,13,1,晴
